chokepoint,mean_delta_km,median_delta_km,max_delta_km,pairs_affected,pairs_disconnected,total_pairs,frac_affected
Panama_Canal,17840.424612046838,17314.82231429095,45341.89170493166,298,0,1540,0.19350649350649352
Gibraltar,10624.239643207851,10398.182033047484,26896.00243551154,590,0,1540,0.38311688311688313
Suez_Canal,9949.398998839133,11321.27468310844,23316.627558183474,469,0,1540,0.30454545454545456
Bab_el_Mandeb,4700.020273684008,5735.177916204313,9907.48687760646,454,0,1540,0.2948051948051948
Bosporus,3275.282764048706,3159.7990652264034,3540.1151880536163,159,0,1540,0.10324675324675325
Strait_of_Malacca,1754.4737809477567,1473.1638944442748,3007.8914501624495,290,0,1540,0.18831168831168832
