chokepoint,risk_premium,pair,base_cost,security_cost,delta_cost,pct_increase
Bab_el_Mandeb,0.1,Algeciras__Antwerp,2475.2672618981,2475.2672618981,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Balboa,12487.548889434973,12487.548889434973,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Bandar_Abbas,9836.466138290485,9982.069661973661,145.6035236831758,1.4802422093070995
Bab_el_Mandeb,0.1,Algeciras__Barcelona,881.0438698031547,881.0438698031547,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Basra,10846.754178362642,10992.357702045818,145.6035236831758,1.3423695355208576
Bab_el_Mandeb,0.1,Algeciras__Bremerhaven,2854.274275305445,2854.274275305445,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Buenos_Aires,12396.027226256698,12396.027226256698,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Busan,19405.11696530085,19550.72048898403,145.60352368317763,0.7503357178600765
Bab_el_Mandeb,0.1,Algeciras__Callao,14840.500241301677,14840.500241301677,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Cartagena,11997.442298221855,11997.442298221855,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Colombo,10942.496496255233,11088.100019938409,145.6035236831758,1.3306243573667542
Bab_el_Mandeb,0.1,Algeciras__Colon,12420.173718118323,12420.173718118323,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Constanta,3504.093135193819,3504.093135193819,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Dakar,3548.569210899,3548.569210899,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Dammam,10343.615269405198,10489.218793088374,145.6035236831758,1.4076656941586791
Bab_el_Mandeb,0.1,Algeciras__Djibouti,6655.036181137561,6792.330256214158,137.29407507659744,2.0630101976865505
Bab_el_Mandeb,0.1,Algeciras__Dubai,9855.518292713508,10001.121816396684,145.6035236831758,1.4773806852027764
Bab_el_Mandeb,0.1,Algeciras__Durban,11713.566987786664,11859.170511469838,145.603523683174,1.2430331754194925
Bab_el_Mandeb,0.1,Algeciras__Felixstowe,2403.4786247142324,2403.4786247142324,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Gdansk,3510.771664661023,3510.771664661023,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Genoa,1526.2942709570111,1526.2942709570111,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Halifax,7252.922513089801,7252.922513089801,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Hamburg,2936.234306728276,2936.234306728276,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Helsinki,4145.091922760926,4145.091922760926,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Hong_Kong,17397.861730558616,17543.465254241793,145.60352368317763,0.8369047066711143
Bab_el_Mandeb,0.1,Algeciras__Houston,11436.374915397515,11436.374915397515,0.0,0.0
Bab_el_Mandeb,0.1,Algeciras__Jebel_Ali,9888.186310196303,10033.789833879478,145.6035236831758,1.4724998004238175
